Title,Release Year,Duration,Director,Main Cast,Genres,Streaming Availability
The Maltese Falcon,1941,100 min.,John Huston,"Humphrey Bogart, Mary Astor, Gladys George","Based-on-20th-Century-Literature, Crime, Detective Film",
The Big Sleep,1946,114 min.,Howard Hawks,"Lauren Bacall, John Ridgely, Humphrey Bogart","Based-on-20th-Century-Literature, Detective Film, Femme Fatale",
Shaun of the Dead,2004,99 min.,Edgar Wright,"Simon Pegg, Nick Frost, Kate Ashfield","Apocalyptic Film, Black Comedy, Comedy",
The Thing,1982,109 min.,John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter","Alien Invasion Films, Based-on-20th-Century-Literature, Body Horror",
Kill Bill Vol. 1,2003,111 min.,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox","Action Thriller, Action, Feminist Film",
Aguirre: The Wrath of God,1972,93 min.,Werner Herzog,"Klaus Kinski, Helena Rojo, Del Negro","Adventure Drama, Adventure, Drama",
No Country for Old Men,2007,122 min.,Joel & Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin","Based-on-21st-Century-Literature, Crime Thriller, Crime",
The Lion King,1994,89 min.,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones","Adventure, Animated Musical, Animation",
In the Mood for Love,2000,98 min.,Wong Kar-Wai,"Tony Leung Chiu Wai, Maggie Cheung, Ping Lam Siu","Drama, Foreign Language Film, Period Film",
The Great Dictator,1940,125 min.,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Reginald Gardiner","Anti-War Film, Comedy Drama, Comedy",
The Gold Rush,1925,96 min.,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray","Adventure Comedy, Adventure, Comedy",
Gladiator,2000,155 min.,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","Action, Adventure Drama, Adventure",
Diabolique,1955,116 min.,Henri-Georges Clouzot,"Simone Signoret, Vera Clouzot, Paul Meurisse","Based-on-20th-Century-Literature, Crime, Foreign Language Film",
Stand by Me,1986,89 min.,Rob Reiner,"River Phoenix, Corey Feldman, Richard Dreyfuss","Adventure Drama, Adventure, Buddy Film",
Parasite,2019,132 min.,Bong Joon Ho,"Kang-ho Song, Yeo-jeong Jo, So-dam Park","Black Comedy, Comedy Drama, Comedy Thriller",
