Title,Release Year,Duration,Director,Main Cast,Genre 1,Genre 2
Rio Bravo,1959,141 min.,Howard Hawks,John Wayne,Buddy Film,Traditional Western
The Wizard of Oz,1939,101 min.,Victor Fleming,Judy Garland,Adventure,Based-on-19th-Century-Literature
Unforgiven,1992,131 min.,Clint Eastwood,Clint Eastwood,Outlaw,Prostitution Film
Once Upon a Time in the West,1968,165 min.,Sergio Leone,Charles Bronson,Ensemble Film,Epic
Rebecca,1940,130 min.,Alfred Hitchcock,Laurence Olivier,Based-on-20th-Century-Literature,Film Noir
Brief Encounter,1945,86 min.,David Lean,Celia Johnson,Based-on-Theatre,Drama
Laura,1944,88 min.,Otto Preminger,Gene Tierney,Crime Thriller,Crime
Ran,1985,162 min.,Akira Kurosawa,Tatsuya Nakadai,Action,Based-on-Shakespeare
For a Few Dollars More,1965,132 min.,Sergio Leone,Clint Eastwood,Foreign Language Film,Spaghetti Western
Iron Man,2008,126 min.,Jon Favreau,Robert Downey Jr.,Action,Based-on-Comics
The Best Years of Our Lives,1946,172 min.,William Wyler,Fredric March,Americana,Based-on-20th-Century-Literature
Annie Hall,1977,93 min.,Woody Allen,Woody Allen,Comedy of Manners,Comedy
"Paris, Texas",1984,147 min.,Wim Wenders,Harry Dean Stanton,Drama,New German Cinema
Stalag 17,1953,120 min.,Billy Wilder,Robert Strauss,Comedy Drama,Drama
Mr. Smith Goes to Washington,1939,129 min.,Frank Capra,James Stewart,Americana,Comedy Drama
Duck Soup,1933,68 min.,Leo McCarey,Harpo Marx,Absurd Comedy,Comedy
Lawrence of Arabia,1962,227 min.,David Lean,Peter O'Toole,Adventure Drama,Adventure
To Be or Not to Be,1942,99 min.,Ernst Lubitsch,Carole Lombard,Comedy,Farce
The Prestige,2006,130 min.,Christopher Nolan,Hugh Jackman,Mindbender,Period Film
The Sting,1973,129 min.,George Roy Hill,Paul Newman,Buddy Film,Comedy
Back to the Future Part II,1989,108 min.,Robert Zemeckis,Michael J. Fox,Adventure,Adventure Comedy
Charade,1963,113 min.,Stanley Donen,James Coburn,Comedy Thriller,Comedy
Chungking Express,1994,98 min.,Wong Kar-Wai,Brigitte Lin,Drama,Foreign Language Film
Dog Day Afternoon,1975,125 min.,Sidney Lumet,Al Pacino,Based-on-a-True-Story,Caper
All the President's Men,1976,138 min.,Alan J. Pakula,Jason Robards,Based-on-a-True-Story,Docudrama
Witness for the Prosecution,1957,116 min.,Billy Wilder,Tyrone Power,Based-on-20th-Century-Literature,Courtroom Drama
Andrei Rublev,1966,205 min.,Andrei Tarkovsky,Anatoli Solonitsyn,Based-on-a-True-Story,Biopic
The Kid,1921,68 min.,Charles Chaplin,Charles Chaplin,Drama,Silent Film
The Graduate,1967,105 min.,Mike Nichols,Dustin Hoffman,Comedy Drama,Comedy of Manners
The Great Escape,1963,172 min.,John Sturges,Steve McQueen,Adventure,Based-on-20th-Century-Literature
City of God,2002,130 min.,"Fernando Meirelles, Kátia Lund",Leandro Firmino da Hora,Based-on-20th-Century-Literature,Coming-of-Age
The Hidden Fortress,1958,139 min.,Akira Kurosawa,Toshirô Mifune,Adventure,Costume Adventure
Willy Wonka & the Chocolate Factory,1971,100 min.,Mel Stuart,Jack Albertson,Adventure,Based-on-20th-Century-Literature
The King of Comedy,1982,109 min.,Martin Scorsese,Robert De Niro,Black Comedy,New Hollywood
The Battle of Algiers,1966,121 min.,Gillo Pontecorvo,Brahim Hadjadj,Docudrama,Drama
Metropolis,1927,153 min.,Fritz Lang,Alfred Abel,Cyberpunk / Tech Noir,Cyborg / Android / Robot
Breathless,1960,90 min.,Jean-Luc Godard,Jean-Paul Belmondo,Crime Drama,Crime
